Card Name	Card Type	Value$$$	ACT deck	Picture description	Card text	Type	Who?	Comments
Crusty Sock	Pocket	-	Act 1	A dank-ass sock.	No one wants to look in here. A Pocket.	Pocket	wyot; 	pocketses
A Plastic Bag Filled With Plastic Bags	Pocket	-	Act 1	A bag filled with bags	This one counts as 2 Pockets because of all the extra bags!	Pocket	jek	
Hidden Jean Pocket	Pocket	-	Act 1	A pocket	You've had this the whole time. Why can I only use it now? A Pocket	Pocket	Hoey	
Grocery Store Tote Bag	Pocket	-	Act 1	A tote bag with apples and shit on it	A Pocket. Food hidden here at the end of the game is worth double.	Pocket	jek	
Big Scary Coat	Pocket	-	Act 2	A big scary coat on a coat hanger	You can keep all kind of shady stuff in here. A Pocket	Pocket		
Moving Box	Pocket	-	Act 2	A box with little feet that says "Insmuth Movers" on it	A Pocket. If there is no item hidden here you can move again on your turn.	Pocket		
Super Secret Hiding Place	Pocket	-	Act 2	A question mark	Shhh don't tell anyone! Hide a card here.	Pocket		
Under the Matress	Pocket	-	Act 2	A matress with a pile of cash bursting from under it	Banks are a construct of the bourgoisie! A Pocket	Pocket	hoey	
Mimic chest	Pocket	-	Act 3	A chest with teeth in it	A Pocket. You must discard a card to remove it from the pocket.	Pocket	hoey	
Alien Skin-Flap	Pocket	-	Act 3	flat-fish looking alien latching onto a robber	The hideous monster leaps from the shadows and latches onto you! It seems friendly enough. You can hide an item in here, but it won't give it back until the end of the game. A Pocket	Pocket		
HAUNTED   								
Dirty Silverware	Haunted	-$$	Act 1	forks and knives covered in gunk and grime	The owners of this place don't do the dishes apparently. Mysterious Goo is getting on your stuff. Take them to the kitchen to clean them, turning them into Nice Silverware. 	Haunted	jek	
Nice Silverware	Unhaunted	$$		Shiny forks and knives	Real silver! The knives are sharp and the forks are perfect for twirling spaghetti. If you get dirty, turn them back into Dirty Silverware.	Unhaunted	jek	
Puzzling Puzzle Peice 1/3	Haunted	-$$$	Act 1	A peice of a puzzle that appears to be a picture of a monster	The monster in the picture seems angry! Collect all three to unhaunt all of them. They cannot be stolen.	Haunted	Mayth	
Puzzling Puzzle (1)	Unhaunted	$$$$		A finished puzzle with a picture of a monster	Pretty picture!	Unhaunted	mayth	
Puzzling Puzzle Peice 2/3	Haunted	-$$$	Act 2	A peice of a puzzle that appears to be a picture of a monster	The monster in the picture seems angry! Collect all three to unhaunt all of them. They cannot be stolen.	Haunted	Mayth	
Puzzling Puzzle (1)	Unhaunted	$$$$		A finished puzzle with a picture of a monster	Pretty picture!	Unhaunted	mayth	
Puzzling Puzzle Peice 3/3	Haunted	-$$$	Act 3	A peice of a puzzle that appears to be a picture of a monster	The monster in the picture seems angry! Collect all three to unhaunt all of them. They cannot be stolen.	Haunted	Mayth	
Puzzling Puzzle (1)	Unhaunted	$$$$		A finished puzzle with a picture of a monster	Pretty picture!	Unhaunted	mayth	
Picture of Gregory Green	Haunted	-$$$$	Act 2	A torn painting of a creepy young guy with glowing green eyes	This picutre is so scary! You think it keeps taking your things, but you feel younger when you have it. You can move again during your turn. Take to the portrait hall and discard a weapon to unhaunt.	Haunted		
Regular Painting of an Old Guy	Unhaunted	$$$$$		A painting of a nice old man	This picture is so boring! But a famous painter signed it so it's worth more.	Unhaunted		
Beard Nexus	Haunted	-$$ 	Act 2	A galaxy with a scruffy beard	The unkempt dreams of trillions throughout the multiverse calls to you. It's breath kinda smells. Collect the Shitty Fake Katana and the Haunted Fedora to unhaunt this item.	Haunted		
White Knight	Unhaunted	$$$$$		A Knight in shining armour holds a katana in one hand and wears a fedora over his helmet	This gallant knight comes to the aid of all, whether they want it or not. Instead of moving, you may teleport to another players space. While on another players space you may sacrifice an item to get into their pockets, stealing a hidden item of your choice. 	Unhaunted		
Pocket Sand	Haunted	$$$	Act 2	Disgruntled robber with pockets full of sand	This item must either occupy a Pocket, or you must discard it. This card can be brought to the Bathroom or the Laundry Room to be turned into a Sack of Sand.	Haunted		
Sack of Sand	Unhaunted	$$$		The sack of sand that Idaho Jim used to steal the Idol	On your turn, you may swap this item with a Treasure in another player's hand. When you receive this item, flip it over to Pocket Sand and put it in a Pocket. Adios, señor.	Unhaunted	wyot;	 take from other players, give to other players
Rotten Egg	Haunted	-$$	Act 2	Gross Egg	This egg can be brought to the Hatchery to turn into the Golden Goose. 	Haunted	wyot	
Golden Goose	Unhaunted	$$$$$-$$		Honking golden goose	This noisy jerk is worth a lot, but subtract one from future steal rolls 	Unhaunted	wyot	
Talking Fish Prophet	Haunted	$$$$	Act 2	one of those mechanical singing wall fish things looking all weird and mystical	Haunted. Before drawing cards on your turn, you can choose to consult the Fish Prophet. When you do, change this card into the Silent Fish Prophet. Then, you may look at the top three cards of the deck and put them back in any order.	Haunted	somn	
Silent Fish Prophet	Unhaunted	$		one of those mechanical singing wall fish things looking very normal	Unhaunted. The Fish Prophet has Spoken, and shall Speak no more.	Unhaunted	somn	
Ace in the hole	Haunted	$$$	Act 2	TBD	TBD	Haunted		
Hole in the Ace	Unhaunted	$ 		TBD	TBD	Unhaunted		
Living Furnace	Haunted	$	Act 2	A furnace with a face	Discard a Flammable Item to draw two cards. Can be used any amount of times. Unhaunt if player becomes Wet.	Haunted	hoey	
Doused Furnace	Unhaunted	$$$$		A cold furnace	Does nothing. Rehaunt if the player becomes burnt.	Unhaunted	hoey	
The Maiden	Haunted	-$$$	Act 2	TBD	TBD	Haunted		
And the Hag	Unhaunted	$$$		TBD	TBD	Unhaunted		
Enchanted Eyewear	Haunted	-$$	Act 2	Glasses with angry eyes behind them	These glasses make your vision terrifyingly sharp. You can see atoms. Entering the Dark Room to turn this card to the Nonchanted Eyewear	Haunted		
Nonchanted Eyewear	Unhaunted	$$		Glasses 	These glasses are not your perscription. Everything is a little blurry, but at least they're worth something now	Unhaunted		
Sacrificial Butter	Haunted	$$	Act 3	Butter tied to a stone table	Sacrilicious! Discard the Sacrificial Butter Knife to summon the Butter God.	Haunted		
Butter God	Unhaunted	$$$$$		A monster made of butter	You now control the Butter God. Every player but you must discard one item of your choice. Discard this card after use.	Unhaunted		
Sarcophagus	Haunted	-$	Act 3	A egyptian sacrophagus	I wonder what's inside... Unhaunt at any time	Haunted	hoey	
The mummy's curse	Unhaunted	$$$$$-$$		an angry mummy	At the start of your turn, discard any card with a value >= 0. This card cannot be stolen, removed or hidden. 	Unhaunted	hoey	
Dimensional Purse	Haunted	$$$$$	Act 3	A purse with a galaxy inside it	A cute and trendy handbag that grants access to your own universe. 	Haunted	jek	
Regular Purse	Unhaunted	-$		A purse with nothing inside of it	I guess it was the pocket dimension that made it cute. Discard cards that add up to at least $$$$$ to switch it to the Dimensional Purse	Unhaunted	jek	
Chapter								
Gobbling Ghosts	Chapter	$$$$	Act 1	Ghosts wander the halls as robbers hide	Hungry ghosts begin to appear in the halls! Very scary! If it hasn't already been done, take the Act 2 deck and shuffle it with Act 1. Each player must place a Ghost token on a room. If you land on a room with a ghost token, you must sacrifice a card to leave the room. The first player to make it to the graveyard with a haunted item (in their haunted state) banishes the ghosts and can take this card as a prize.			
Fluid Floor	Chapter	$$$$$-$	Act 2	A bluprint stands like the carpet from alladin	The floor rumbles and the house begins to shift. If it hasn't already been done, take the Act 3 deck and shuffle it in with the others. At the beginning of each players turn, they must take a room and move it anywhere else that is adjacent to another room. The first player to discover the last room in the house banishes this card and takes it as a prize. If the whole mansion has already been discovered, play rock paper scissors to see who wins.			
FINALE: Carl Thulu Comes Home	Chapter	-	Act 3	A tentacle faced man stands silhouetted in a doorway	Dr. Carl Thulu has returned from the night shift! He's very tired and irritable. After you've finished reading this card, put it adjacent to any room on the edge of the house. This is the Front Door. If you land on this space you are free! Take the Dr Thulu Piece and put it on this card. At the start of each players turn, they must move Dr Thulu 2 spaces. If you start your turn adjacent to the room Dr Thulu is in, he grouchily disintegrates you, removing you from the board (you can still take your turn moving Dr Thulu). Once all players have either escaped or been disintegrated, the heist is over! (if you escape, add $$$ to your final total, if you get disintegrated, count up your money normally. Just because your a pile of ash doesn't mean you can't win)			
Secret Backstory								
